type,index,text,url,title
link,1217,Man,https://en.wikiquote.org/wiki/Special:Search/Man,wikiquote:Special:Search/Man
link,1219,Man,https://commons.wikimedia.org/wiki/Man,commons:Man
link,1227,Woman,/wiki/Woman,Woman
link,1244,Trans man,/wiki/Trans_man,Trans man
link,1245,Trans woman,/wiki/Trans_woman,Trans woman
link,1268,Lhamana,/wiki/Lhamana,Lhamana
link,1320,Aromanticism,/wiki/Aromanticism,Aromanticism
link,1327,Romantic orientation,/wiki/Romantic_orientation,Romantic orientation
link,1368,https://en.wikipedia.org/w/index.php?title=Man&oldid=1326000710,https://en.wikipedia.org/w/index.php?title=Man&oldid=1326000710,
link,1396,Mobile view,//en.wikipedia.org/w/index.php?title=Man&mobileaction=toggle_view_mobile,
link,1407,,https://en.wikipedia.org/wiki/Man?action=edit,
